#  Wav (A)    log gf    E (l, u) (eV)    rad    stark  waals
  1010.59600  -3.790  55.2724  67.5410   0.00   0.00   0.00
  2433.76490  -4.862   0.0000   5.0928   0.00   0.00   0.00
  2433.76700  -5.163   0.0000   5.0928   0.00   0.00   0.00
  2436.59340  -4.782   0.0000   5.0869   0.00   0.00   0.00
  2436.59590  -5.083   0.0000   5.0869   0.00   0.00   0.00
  2440.00930  -4.700   0.0000   5.0798   0.00   0.00   0.00
  2440.01240  -5.000   0.0000   5.0798   0.00   0.00   0.00
  2444.18810  -4.610   0.0000   5.0711   0.00   0.00   0.00
  2444.19190  -4.910   0.0000   5.0711   0.00   0.00   0.00
  2449.37660  -4.510   0.0000   5.0604   0.00   0.00   0.00
  2449.38130  -4.810   0.0000   5.0604   0.00   0.00   0.00
  2455.93040  -4.392   0.0000   5.0469   0.00   0.00   0.00
  2455.93640  -4.693   0.0000   5.0469   0.00   0.00   0.00
  2464.37850  -4.280   0.0000   5.0296   0.00   0.00   0.00
  2464.38640  -4.581   0.0000   5.0296   0.00   0.00   0.00
  2475.53560  -4.147   0.0000   5.0069   0.00   0.00   0.00
  2475.54610  -4.448   0.0000   5.0069   0.00   0.00   0.00
  2490.71260  -4.152   0.0000   4.9764   0.00   0.00   0.00
  2490.72700  -4.453   0.0000   4.9764   0.00   0.00   0.00
  2512.13400  -3.917   0.0000   4.9340   0.00   0.00   0.00
  2512.15490  -4.232   0.0000   4.9339   0.00   0.00   0.00
  2543.84050  -3.762   0.0000   4.8725   0.00   0.00   0.00
  2543.87220  -4.074   0.0000   4.8724   0.00   0.00   0.00
  2593.86850  -3.484   0.0000   4.7785   0.00   0.00   0.00
  2593.91900  -3.794   0.0000   4.7784   0.00   0.00   0.00
  2680.34070  -3.099   0.0000   4.6244   0.00   0.00   0.00
  2680.43340  -3.407   0.0000   4.6242   0.00   0.00   0.00
  2852.81100  -2.582   0.0000   4.3448   0.00   0.00   0.00
  2853.01210  -2.887   0.0000   4.3445   0.00   0.00   0.00
  3302.36860  -1.745   0.0000   3.7534   0.00   0.00   0.00
  3302.97850  -2.050   0.0000   3.7527   0.00   0.00   0.00
  3883.90330 -11.503   0.0000   3.1914   0.00   0.00   0.00
  4213.00100  -2.650   2.1023   5.0444   0.00   0.00   0.00
  4216.05700  -2.350   2.1045   5.0444   0.00   0.00   0.00
  4238.98700  -2.510   2.1023   5.0264   0.00   0.00   0.00
  4242.08100  -2.250   2.1045   5.0264   0.00   0.00   0.00
  4242.08100  -3.210   2.1045   5.0264   0.00   0.00   0.00
  4249.41200  -3.330   2.1023   5.0192   0.00   0.00   0.00
  4252.52000  -3.030   2.1045   5.0192   0.00   0.00   0.00
  4273.62650  -2.368   2.1023   5.0027   0.00   0.00   0.00
  4276.77040  -3.070   2.1045   5.0027   0.00   0.00   0.00
  4276.77090  -2.112   2.1045   5.0027   0.00   0.00   0.00
  4287.84000  -3.190   2.1023   4.9931   0.00   0.00   0.00
  4291.00500  -2.890   2.1045   4.9931   0.00   0.00   0.00
  4321.40100  -2.210   2.1023   4.9706   0.00   0.00   0.00
  4324.61600  -1.960   2.1045   4.9706   0.00   0.00   0.00
  4324.61600  -2.910   2.1045   4.9706   0.00   0.00   0.00
  4341.48900  -2.734   2.1023   4.9573   0.00   0.00   0.00
  4344.73300  -2.434   2.1045   4.9573   0.00   0.00   0.00
  4390.02900  -1.944   2.1023   4.9258   0.00   0.00   0.00
  4393.34000  -1.691   2.1045   4.9258   0.00   0.00   0.00
